3.0,479700
1.0,537200
7.0,298000
8.0,284300
4.0,253000
17.0,252600
5.0,338400
42.0,209500
11.0,206300
13.0,234700
18.0,212800
15.0,465500
25.0,205000
21.0,212800
24.0,205700
19.0,330900
29.0,212300
23.0,54400
34.0,54000
51.0,50100
39.0,572300
36.0,65100
46.0,56600
27.0,72300
12.0,43000
31.0,51800
41.0,82600
43.0,51000
38.0,63900
44.0,41700
47.0,45400
28.0,47700
59.0,42800
78.0,42000
67.0,40200
68.0,44200
76.0,40200
82.0,39200
50.0,46500
72.0,37500
63.0,36500
65.0,41600
73.0,43700
33.0,36000
58.0,39300
53.0,35600
71.0,35500
61.0,43000
74.0,40900
56.0,39900
54.0,31400
81.0,31700
91.0,33000
64.0,66300
79.0,33700
90.0,39700
94.0,43400
57.0,34500
99.0,65700
84.0,32000
100.0,37200
93.0,34800
87.0,33600
97.0,38400
95.0,38500
88.0,33500
85.0,33000
