2.0,18258000
1.0,3008700
3.0,2923800
4.0,2570500
9.0,2243300
25.0,2309300
16.0,2148600
14.0,2142300
10.0,450900
20.0,548300
21.0,351100
12.0,362400
18.0,336800
24.0,298400
5.0,773600
36.0,694800
13.0,609800
19.0,376100
6.0,366900
30.0,339200
22.0,377200
28.0,338500
34.0,354700
26.0,270400
15.0,297500
29.0,254700
17.0,263400
23.0,337400
27.0,370700
11.0,258800
42.0,398600
33.0,261200
45.0,339900
8.0,266500
43.0,277900
31.0,788100
47.0,955700
58.0,259700
55.0,230200
46.0,259300
49.0,218800
41.0,228200
44.0,219600
61.0,322800
38.0,211000
7.0,431100
32.0,188800
56.0,329000
40.0,311400
60.0,251100
35.0,370600
57.0,324200
37.0,312800
53.0,235100
39.0,326000
50.0,257100
62.0,98700
64.0,314900
59.0,371700
54.0,261100
52.0,221300
51.0,253900
63.0,309500
48.0,395000
