3.0,583238300
1.0,602728800
8.0,478631500
7.0,470862700
4.0,637100
17.0,564100
5.0,621900
42.0,569800
11.0,919700
13.0,987500
18.0,821900
15.0,733900
25.0,778700
21.0,706900
24.0,400400
19.0,423000
29.0,462800
23.0,436600
34.0,304200
39.0,339100
46.0,505300
36.0,1324200
51.0,338900
27.0,653900
31.0,360800
12.0,391600
41.0,265000
38.0,275900
43.0,423300
47.0,276000
28.0,310300
44.0,453900
59.0,1013500
78.0,360400
67.0,426700
68.0,362600
76.0,337000
82.0,298300
50.0,345400
72.0,287300
63.0,259500
65.0,303200
73.0,2313000
33.0,289000
58.0,282200
53.0,309100
71.0,293400
61.0,442900
74.0,276100
56.0,296800
81.0,292700
64.0,237000
54.0,350200
91.0,234900
99.0,301700
90.0,276100
94.0,231300
79.0,231500
57.0,318300
84.0,309900
100.0,244600
93.0,268400
87.0,230500
97.0,245900
88.0,362100
95.0,224000
85.0,283700
