3.0,452194900
9.0,421972600
18.0,202792100
20.0,221994000
21.0,214608900
16.0,449286600
1.0,423543400
25.0,450909500
4.0,454652100
12.0,213587500
36.0,565700
13.0,604700
6.0,755800
30.0,841400
34.0,526300
26.0,553800
15.0,470100
29.0,455400
23.0,457800
27.0,441400
11.0,408800
42.0,456100
33.0,408900
45.0,439800
58.0,386700
49.0,533400
46.0,386000
55.0,472800
44.0,389700
61.0,509400
41.0,447600
31.0,437700
7.0,455000
60.0,400900
53.0,670100
37.0,378800
39.0,985900
59.0,362500
54.0,366400
52.0,4247300
63.0,403200
48.0,441500
