3.0,456115800
16.0,66295500
9.0,115735300
25.0,78604200
1.0,472474200
4.0,391738900
20.0,1158000
21.0,733900
12.0,459800
18.0,501600
36.0,775500
13.0,944600
6.0,445600
30.0,459500
34.0,361500
26.0,377300
15.0,343300
29.0,344100
23.0,399800
27.0,344000
11.0,278300
42.0,350300
33.0,327400
45.0,352400
55.0,321300
58.0,274600
49.0,297000
46.0,683500
61.0,263300
44.0,287800
41.0,702100
31.0,429600
7.0,345800
60.0,373200
37.0,367700
53.0,282800
39.0,294500
59.0,302100
54.0,312900
52.0,270300
63.0,339200
48.0,306800
